工作表	儲存格	公式
狩獵任務	I23	=MAX(MIN(50+($F23-300)/3,100),0)
狩獵任務	J23	=$J$8*$I23/100+$J$7/2*(100-$I23)/100
狩獵任務	K23	=MAX(MIN(40+($F23-450)/3,100),0)
狩獵任務	L23	=$L$8*$K23/100+$L$7/2*(100-$K23)/100
狩獵任務	M23	=MAX(MIN(50+($F23-600)/3,100),0)
狩獵任務	G24	=MAX(MIN(75+($F24-150)/3,100),0)
狩獵任務	H24	=$H$8*$G24/100+$H$8/2*(100-$G24)/100
狩獵任務	I24	=MAX(MIN(50+($F24-300)/3,100),0)
狩獵任務	J24	=$J$8*$I24/100+$J$7/2*(100-$I24)/100
狩獵任務	K24	=MAX(MIN(40+($F24-450)/3,100),0)
狩獵任務	L24	=$L$8*$K24/100+$L$7/2*(100-$K24)/100
狩獵任務	M24	=MAX(MIN(50+($F24-600)/3,100),0)
狩獵任務	G25	=MAX(MIN(75+($F25-150)/3,100),0)
狩獵任務	H25	=$H$8*$G25/100+$H$8/2*(100-$G25)/100
狩獵任務	I25	=MAX(MIN(50+($F25-300)/3,100),0)
狩獵任務	J25	=$J$8*$I25/100+$J$7/2*(100-$I25)/100
狩獵任務	K25	=MAX(MIN(40+($F25-450)/3,100),0)
狩獵任務	L25	=$L$8*$K25/100+$L$7/2*(100-$K25)/100
狩獵任務	M25	=MAX(MIN(50+($F25-600)/3,100),0)
狩獵任務	G26	=MAX(MIN(75+($F26-150)/3,100),0)
狩獵任務	H26	=$H$8*$G26/100+$H$8/2*(100-$G26)/100
狩獵任務	I26	=MAX(MIN(50+($F26-300)/3,100),0)
狩獵任務	J26	=$J$8*$I26/100+$J$7/2*(100-$I26)/100
狩獵任務	K26	=MAX(MIN(40+($F26-450)/3,100),0)
狩獵任務	L26	=$L$8*$K26/100+$L$7/2*(100-$K26)/100
狩獵任務	M26	=MAX(MIN(25+($F26-600)/3,100),0)
狩獵任務	G27	=MAX(MIN(75+($F27-150)/3,100),0)
狩獵任務	H27	=$H$8*$G27/100+$H$8/2*(100-$G27)/100
狩獵任務	I27	=MAX(MIN(50+($F27-300)/3,100),0)
狩獵任務	J27	=$J$8*$I27/100+$J$7/2*(100-$I27)/100
狩獵任務	K27	=MAX(MIN(40+($F27-450)/3,100),0)
狩獵任務	L27	=$L$8*$K27/100+$L$7/2*(100-$K27)/100
狩獵任務	M27	=MAX(MIN(25+($F27-600)/3,100),0)
狩獵任務	G28	=MAX(MIN(75+($F28-150)/3,100),0)
狩獵任務	H28	=$H$8*$G28/100+$H$8/2*(100-$G28)/100
狩獵任務	I28	=MAX(MIN(50+($F28-300)/3,100),0)
狩獵任務	J28	=$J$8*$I28/100+$J$7/2*(100-$I28)/100
狩獵任務	K28	=MAX(MIN(40+($F28-450)/3,100),0)
狩獵任務	L28	=$L$8*$K28/100+$L$7/2*(100-$K28)/100
狩獵任務	M28	=MAX(MIN(25+($F28-600)/3,100),0)
狩獵任務	N28	=$N$8*$M28/100+$N$7/2*(100-$M28)/100
狩獵任務	G29	=MAX(MIN(75+($F29-150)/3,100),0)
狩獵任務	H29	=$H$8*$G29/100+$H$8/2*(100-$G29)/100
狩獵任務	I29	=MAX(MIN(50+($F29-300)/3,100),0)
狩獵任務	J29	=$J$8*$I29/100+$J$7/2*(100-$I29)/100
狩獵任務	K29	=MAX(MIN(40+($F29-450)/3,100),0)
狩獵任務	L29	=$L$8*$K29/100+$L$7/2*(100-$K29)/100
狩獵任務	M29	=MAX(MIN(25+($F29-600)/3,100),0)
狩獵任務	N29	=$N$8*$M29/100+$N$7/2*(100-$M29)/100
狩獵任務	G30	=MAX(MIN(75+($F30-150)/3,100),0)
狩獵任務	H30	=$H$8*$G30/100+$H$8/2*(100-$G30)/100
狩獵任務	I30	=MAX(MIN(50+($F30-300)/3,100),0)
狩獵任務	J30	=$J$8*$I30/100+$J$7/2*(100-$I30)/100
狩獵任務	K30	=MAX(MIN(40+($F30-450)/3,100),0)
狩獵任務	L30	=$L$8*$K30/100+$L$7/2*(100-$K30)/100
狩獵任務	M30	=MAX(MIN(25+($F30-600)/3,100),0)
狩獵任務	N30	=$N$8*$M30/100+$N$7/2*(100-$M30)/100
狩獵任務	G31	=MAX(MIN(75+($F31-150)/3,100),0)
狩獵任務	H31	=$H$8*$G31/100+$H$8/2*(100-$G31)/100
狩獵任務	I31	=MAX(MIN(50+($F31-300)/3,100),0)
狩獵任務	J31	=$J$8*$I31/100+$J$7/2*(100-$I31)/100
狩獵任務	K31	=MAX(MIN(40+($F31-450)/3,100),0)
狩獵任務	L31	=$L$8*$K31/100+$L$7/2*(100-$K31)/100
狩獵任務	M31	=MAX(MIN(25+($F31-600)/3,100),0)
狩獵任務	N31	=$N$8*$M31/100+$N$7/2*(100-$M31)/100
狩獵任務	G32	=MAX(MIN(75+($F32-150)/3,100),0)
狩獵任務	H32	=$H$8*$G32/100+$H$8/2*(100-$G32)/100
狩獵任務	I32	=MAX(MIN(50+($F32-300)/3,100),0)
狩獵任務	J32	=$J$8*$I32/100+$J$7/2*(100-$I32)/100
狩獵任務	K32	=MAX(MIN(40+($F32-450)/3,100),0)
狩獵任務	L32	=$L$8*$K32/100+$L$7/2*(100-$K32)/100
狩獵任務	M32	=MAX(MIN(25+($F32-600)/3,100),0)
狩獵任務	N32	=$N$8*$M32/100+$N$7/2*(100-$M32)/100
狩獵任務	G33	=MAX(MIN(75+($F33-150)/3,100),0)
狩獵任務	H33	=$H$8*$G33/100+$H$8/2*(100-$G33)/100
狩獵任務	I33	=MAX(MIN(50+($F33-300)/3,100),0)
狩獵任務	J33	=$J$8*$I33/100+$J$7/2*(100-$I33)/100
狩獵任務	K33	=MAX(MIN(40+($F33-450)/3,100),0)
狩獵任務	L33	=$L$8*$K33/100+$L$7/2*(100-$K33)/100
狩獵任務	M33	=MAX(MIN(25+($F33-600)/3,100),0)
狩獵任務	N33	=$N$8*$M33/100+$N$7/2*(100-$M33)/100
狩獵任務	G34	=MAX(MIN(75+($F34-150)/3,100),0)
狩獵任務	H34	=$H$8*$G34/100+$H$8/2*(100-$G34)/100
狩獵任務	I34	=MAX(MIN(50+($F34-300)/3,100),0)
狩獵任務	J34	=$J$8*$I34/100+$J$7/2*(100-$I34)/100
狩獵任務	K34	=MAX(MIN(40+($F34-450)/3,100),0)
狩獵任務	L34	=$L$8*$K34/100+$L$7/2*(100-$K34)/100
狩獵任務	M34	=MAX(MIN(25+($F34-600)/3,100),0)
狩獵任務	N34	=$N$8*$M34/100+$N$7/2*(100-$M34)/100
狩獵任務	G35	=MAX(MIN(75+($F35-150)/3,100),0)
狩獵任務	H35	=$H$8*$G35/100+$H$8/2*(100-$G35)/100
狩獵任務	I35	=MAX(MIN(50+($F35-300)/3,100),0)
狩獵任務	J35	=$J$8*$I35/100+$J$7/2*(100-$I35)/100
狩獵任務	K35	=MAX(MIN(40+($F35-450)/3,100),0)
狩獵任務	L35	=$L$8*$K35/100+$L$7/2*(100-$K35)/100
狩獵任務	M35	=MAX(MIN(25+($F35-600)/3,100),0)
狩獵任務	N35	=$N$8*$M35/100+$N$7/2*(100-$M35)/100
狩獵任務	C36	=B36*180
狩獵任務	D36	=((2500*0.6+4300*0.3+15200*0.1)*4.5/10)*1.1
狩獵任務	G36	=MAX(MIN(75+($F36-150)/3,100),0)
狩獵任務	H36	=$H$8*$G36/100+$H$8/2*(100-$G36)/100
狩獵任務	I36	=MAX(MIN(50+($F36-300)/3,100),0)
狩獵任務	J36	=$J$8*$I36/100+$J$7/2*(100-$I36)/100
狩獵任務	K36	=MAX(MIN(40+($F36-450)/3,100),0)
狩獵任務	L36	=$L$8*$K36/100+$L$7/2*(100-$K36)/100
狩獵任務	M36	=MAX(MIN(25+($F36-600)/3,100),0)
狩獵任務	N36	=$N$8*$M36/100+$N$7/2*(100-$M36)/100
狩獵任務	C37	=B37*110
狩獵任務	D37	=((2500*0.8+4300*0.2)*4.5/10)*1.1
狩獵任務	G37	=MAX(MIN(75+($F37-150)/3,100),0)
狩獵任務	H37	=$H$8*$G37/100+$H$8/2*(100-$G37)/100
狩獵任務	I37	=MAX(MIN(50+($F37-300)/3,100),0)
狩獵任務	J37	=$J$8*$I37/100+$J$7/2*(100-$I37)/100
狩獵任務	K37	=MAX(MIN(40+($F37-450)/3,100),0)
狩獵任務	L37	=$L$8*$K37/100+$L$7/2*(100-$K37)/100
狩獵任務	M37	=MAX(MIN(25+($F37-600)/3,100),0)
狩獵任務	N37	=$N$8*$M37/100+$N$7/2*(100-$M37)/100
狩獵任務	C38	=22*60
狩獵任務	D38	=(2500*4.5/10)*1.1
狩獵任務	G38	=MAX(MIN(75+($F38-150)/3,100),0)
狩獵任務	H38	=$H$8*$G38/100+$H$8/2*(100-$G38)/100
狩獵任務	I38	=MAX(MIN(50+($F38-300)/3,100),0)
狩獵任務	J38	=$J$8*$I38/100+$J$7/2*(100-$I38)/100
狩獵任務	K38	=MAX(MIN(40+($F38-450)/3,100),0)
狩獵任務	L38	=$L$8*$K38/100+$L$7/2*(100-$K38)/100
狩獵任務	M38	=MAX(MIN(25+($F38-600)/3,100),0)
狩獵任務	N38	=$N$8*$M38/100+$N$7/2*(100-$M38)/100
狩獵任務	C39	=16.5*50
狩獵任務	G39	=MAX(MIN(75+($F39-150)/3,100),0)
狩獵任務	H39	=$H$8*$G39/100+$H$8/2*(100-$G39)/100
狩獵任務	I39	=MAX(MIN(50+($F39-300)/3,100),0)
狩獵任務	J39	=$J$8*$I39/100+$J$7/2*(100-$I39)/100
狩獵任務	K39	=MAX(MIN(40+($F39-450)/3,100),0)
狩獵任務	L39	=$L$8*$K39/100+$L$7/2*(100-$K39)/100
狩獵任務	M39	=MAX(MIN(25+($F39-600)/3,100),0)
狩獵任務	N39	=$N$8*$M39/100+$N$7/2*(100-$M39)/100
狩獵任務	C40	=B40*35
狩獵任務	G40	=MAX(MIN(75+($F40-150)/3,100),0)
狩獵任務	H40	=$H$8*$G40/100+$H$8/2*(100-$G40)/100
狩獵任務	I40	=MAX(MIN(50+($F40-300)/3,100),0)
狩獵任務	J40	=$J$8*$I40/100+$J$7/2*(100-$I40)/100
狩獵任務	K40	=MAX(MIN(40+($F40-450)/3,100),0)
狩獵任務	L40	=$L$8*$K40/100+$L$7/2*(100-$K40)/100
狩獵任務	M40	=MAX(MIN(25+($F40-600)/3,100),0)
狩獵任務	N40	=$N$8*$M40/100+$N$7/2*(100-$M40)/100
狩獵任務	N53	=SUM(F53:M53)/10
狩獵任務	Q53	=N53*O53*28
狩獵任務	N54	=SUM(F54:M54)/10
狩獵任務	Q54	=N54*O54*21
狩獵任務	N55	=SUM(F55:M55)/10
狩獵任務	Q55	=N55*O55*14
狩獵任務	N56	=SUM(F56:M56)/10
狩獵任務	Q56	=N56*O56*7
魔法物品價格表	H6	=1
魔法物品價格表	N18	=M18^2*10+N5
魔法物品價格表	N19	=M19^2*10+N6
魔法物品價格表	N20	=M20^2*10+N7
魔法物品價格表	N21	=M21^2*10+N8
魔法物品價格表	N22	=M22^2*10+N9
魔法物品價格表	N23	=M23^2*10+N10
魔法物品價格表	N24	=M24^2*10+N11
魔法物品價格表	N25	=M25^2*10+N12
魔法物品價格表	N26	=M26^2*10+N13
魔法物品價格表	N27	=M27^2*10+N14
一般詞綴	C1	=OFFSET('一般詞綴'!A2,MATCH(B1,'一般詞綴'!A3:A110,0),2)
一般詞綴	D1	=OFFSET('一般詞綴'!A2,MATCH(B1,'一般詞綴'!A3:A110,0),3)
高階詞綴	C1	=OFFSET('高階詞綴'!A2,MATCH(B1,'高階詞綴'!A3:A106,0),3)
