傳奇技能前置：傳奇技能大致能區分為法術相關與進戰相關，在點此技能表前須先與開團的ＤＭ告知與商討。\n前者法術相關的前置為在不依賴基本超魔專長、特殊魔法物品與特殊專長能發動９環法術，並投資法術相關技能達６００ＣＰ以上。\n後者近戰相關則是需主要近戰攻擊手段的成功上限達２００以上，並投資近戰相關技能達６００ＣＰ以上。\n注：在完成或是觸發特殊劇情時，ＤＭ可考慮讓玩家承受恆久的特定負面狀態在玩家無法達到傳奇技能前置，仍舊使其獲得傳奇技能。\n注：傳奇難度需消耗傳奇技能點，一點傳奇技能點需消耗１０點ＣＰ兌換。
名稱	難度	效果
萬物重組	6（操作）	你能對在你可視、可感知的此技能等級×20英尺內，將魔法物品之材料或是一件魔法物品重塑至一件新魔法物品，其上之詞綴由你所決定。\n此技能作用之魔法物品加值為此技能等級×5。\n此技能的使用目標數量為此技能等級×2。\n注：重塑之魔法物品加值不變動，但可以為0條詞綴。
萬物解構	6（操作）	你能對在你可視、可感知的此技能等級×20英尺內，將一件魔法物品將其解構至其原始材料之狀態。\n此技能作用之魔法物品加值為此技能等級×5。\n此技能的使用目標數量為此技能等級×2。
聖者的啟示	傳1（交涉）	此技能等級×5秒內，10環以下法術無效。\n不承受傳奇以下施法減值，非神器武器、傳奇技能、傳奇法術無法對我方造成傷害與負面效果。\n可以用一即時動作啟動，在可視、可感知此技能等級×100英尺內進行傳送至範圍內未被占據的位置。
神選騎士（生機）	6（交涉）	獲得與對等神權技能等級的效果，同時生機之神的祝福以自身為中心爆發此技能等×30英尺。\n當自身處於該祝福之下，每秒回復2D10HP與2D6SP。\n並對祝福範圍內的敵方附加每秒2D10HP與2D6SP的負面狀態。
神權	6（交涉）	此技能等級×3秒內，獲得自身信仰神祇的加護，好比神祗化身在凡間行走，凡骰無效。\n（注：凡骰無效意味著非神器、傳奇技能、傳奇法術皆無法對你造成任何影響。）
時間扭曲－逆流	傳2（知識）	此技能等級×5秒為你所能極限回溯的秒數。\n以當下為基點，你能將所有人、事、物、法術倒轉至你所指定的時間，而僅有你保留倒轉前的記憶。\n所消耗得SP公式為10×（1＋2＋3＋..n），n為你預期倒轉的總秒數。
米沙凱的聖域	6（交涉）
生機的湧動	６（交涉）	一日僅能使用一次，來自生機之神的庇佑，以自身為中心爆發此技能等級×50英尺。\n範圍內所有邪惡陣營的生物進行抗喷吐－此技能等級×５０的檢定，若檢定失敗則被束縛，同時每輪承受3D10HP與3D8SP傷害。\n只要邪惡陣營的生物未離開該範圍，則每輪皆須進行此抗噴吐檢定。\n範圍內的邪惡生物會被烙印下懲罰的烙印，該烙印無法以解除魔法與移除詛咒消除。被烙下印痕的生物只要進行違背生機之神的教義，則其SPI承受1點負面減值。\n範圍內的善良陣營生物，則每輪回復3D10HP與3D8SP。\n該技能維持時間為此技能等級×分鐘數。
感官掌控	傳2（知識）	爆發半徑 10 英尺 ＋ 技能等級×2×5英尺 ＋ 施法等級×5英尺\n\n在該範圍內非傳奇所有我認定的敵方，視為無法進行任何動作2d4輪。\n技能持續時間內，可以任意操控受到影響的敵方的任意行動，並將受術者的SP以每輪此技能等級＋幻術施法等級＋智力調整值剝取到我的SP上。\n在範圍內，可以把認定的物體與受術者操控於陰影位面與主物質位面之間。
神語	6（交涉）	一天僅能使用一次，你能進行一次交涉檢定(交涉+神語x10)，通過可以選擇該等級以下一個能力適用。\n等級1:raidō 旅行(今日你的移動速度增加此技能等級*5尺，及進行運動檢定獲得此技能等級*5的加值)\n等級2:kaunan火炬(此技能等級*小時內，你獲得此技能等級*20的火抗，此外你的視線不會受魔法與黑暗影響)\n等級3:mannaz 人(你能抽取一類人生物此技能等級*小時數的記憶儲存於此神文中，也可以選擇將此記憶轉給其他物質或是生物)(注:抽取的記憶如果有包含到技能的學習過程有概率抽取出cp)\n等級4:algiz 保護(你指定此技能等級*50英尺的爆發範圍，移除所有負面法術、狀態、詛咒，此文字使用次數為此技能等級)\n等級5:sōwilō 太陽(你能指定此技能等級*分鐘數使此技能等級*100尺爆發範圍內的空間轉為日正當中的白天，且該範圍內的指定隊友獲得每輪恢復此技能等級*5的hp與此技能等級*3的sp)\n等級6:ansuz 諸神(你獲得技能等級*分鐘數的神權)\n\n除上述好處之外，你精通所有的語言及文字(不需要點施法需要語言)
瘋狂鏡射	6(感知)	你可以耗1點cp 或是 100金幣，可以將一個魔法物品上的隨機一條詞綴翻倍，並將另一個詞綴負向翻倍，永久生效，只能在一個魔法物品上作用一次。\n使用此效果的魔法物品會被烙印上 【瘋癲】的印記，並不能再做任何改動。\n瘋癲: 當SP低於10的時候，此魔法物品詞墜效果翻倍，你可以根據你的意志決定是否要啟動這個效果。
光暗靜止的平衡	6(感知)	當你使用一個帶有正效益(含有光耀/補血/buff)或是負效益(暗蝕/debuff)的法術時，你可以花費兩倍SP，將原本要發動的法術取消\n改為以下兩個效果其中之一\n- 以自身為中心爆發技能等級*5尺的力場傷害，傷害為所花費SP*D10+技能等級*10\n- 以自身為中心爆發5技能等級尺的法術靜默空間(此技能等級*2內的法術效果取消)
至高王座的化身	傳1(交涉 )	一日能使用一次，每當使用時SPI永久-1；一分鐘內，你獲得神權蔑視(你無視所有10環以下的類法術及法術效果)\n且你的所有類法術效果附帶真言術死，若對方未因此死亡則必須承受10D10+施法者環術*5的暗蝕傷害
終末的沸騰	傳1(交涉)	一日能使用一次，以你為中心半徑(此技能等級*800尺範圍)內的轉化為終末的神殿。\n在此神殿中所有你的敵人都不具有抗性。。\n在神殿中的所有生物，每輪減少2STR與2CON。\n每執行一個動作時，丟一次D100，並根據結果適用以下效果。\n- 疊骰: 你回復所有法術點\n- 7 : 所有神殿內的生物HP為0\n- 85: 所有神殿內的生物HP為-20 SP為-20，且此技能結束。\nCHA增加此技能等級。
瀆神的本我	傳1(交涉)	一日一次，你能投擲3個D100來跨越命運(若有疊骰需額外追加一個1D100)，你能選擇回捲一整個回合或是重置一次選擇。
三聖者的詠唱 (魔曲)	難度6(操作)	以你為中心爆發5*施法者等級尺所有善良陣營的人判定+20 所有邪惡陣營判定-20，如果是三聖者額外的判定+10，每回合回復2D10HP+2D8SP。\n每輪清除自身所有的負面效果。
三重幻象謊言	難度6(交涉)	用一個標準動作，你能將自己與裝配傳送到星界，並在施法者當下的位置留下3個相同的立體幻象，其HP、SP等於原施法者，幻象除不能跨位面行動之外操控距離階無限制。\n三個幻象中的其中一體為本體的鏡像投射(具備自身難度5以下的技能，但沒有魔法物品)；你每輪中能操縱鏡像投射正常施法、正常攻擊及正常迴避。\n另外兩者幻象為謊言幻術，沒有智力、不能使用投擲或施展法術，但在其他方面的言行都一如控制它的施法者；你每輪中能操縱謊言幻術進行移動、言語或是對應的行動。\n此外，你可以一回合一次，任意將三者幻象的位置互換，你與幻象共享視力與感覺。\n謊言幻象或鏡像投射只有在HP或SP歸零時，或是自行解除技能時，幻象才會消失；當本體幻象消失，或技能解除時此時施法者重新出在原本的位置。
