製作基本							製作相關時間
製作消耗型的物品或非永久性的增加屬性之物品，僅需消耗時間與金錢。（有限許願術、許願術、神蹟術等需消耗自身CP的法術除外）\n製作永久型魔法物品需消費CP、時間、金錢，每多一加值需多卡自身1CP，若魔法物品永久性損毀則會解放無法使用的CP。（奇物或是特殊物品則對應價格表換算成對應的魔法物品加值價格）\n進行魔法物品的加值附魔及附魔拔除則需消耗時間與金錢。\n\n ●  ** 表示此專長能藉由「賢者之觸」詞墜提升等級							1. 藥水:1日1瓶\n2. 卷軸:1環1天、2環2天、3環3天，以此類推\n3. 詞綴賦予:1條詞綴1天\n4. 素材詞綴賦予: 賦予的魔法物品的加值*1.2 日\n5. 符文刻劃:1小時\n6. 魔法陣學:1環1天、2環2天、3環3天，以此類推\n7. 魔法物品製作: 每一加值1天
專長	分類	難度	前置技能	說明
黃玉藥水	操作	1	調製藥水	你能製造短暫提供元素抗性的藥水。\n每多一技能多提供15點閃電抗性。\n每多一技能等級，在承受閃電傷害前可以多吸收10點閃電傷害。\n此藥水效果維持輪數為(此技能等級+藥水調製等級)×2。
迷霧藥劑	操作	1	調製藥水	你能製造短暫迷霧的藥水。\n飲下該藥劑後，以自身為中心爆發(此技能等級+藥水調製等級)×10尺的魔法迷霧。\n只要你處於該迷霧中你的閃避檢定獲得10點閃避加值，每多一技能等級額外提供5加值。\n此藥水效果維持輪數為(此技能等級+藥水調製等級)×5。
翠玉藥水	操作	1	調製藥水	你能製作暫時增加迴避率之藥水。\n每多一技能等級增加15點閃避加值。\n此藥水效果維持輪數為(此技能等級+藥水調製等級)×5。
金剛藥水	操作	1	調製藥水	你能製造短暫增加抗性檢定之藥水。\n每多一技能多提供10點抗性檢定加值。\n此藥水效果維持輪數為此技能等級+藥水調製等級。
石英藥水	操作	1	調製藥水	你能製作暫時提供靈化效果的藥水。(請查總詞綴表)\n此藥水效果維持輪數為(此技能等級+藥水調製等級)×5。
寶鑽藥水	操作	2	調製藥水	提供近戰物理攻擊多15%的爆擊成功率，每多一技能等級多5%的爆擊成功率，每多一技能等級維持回合數多2輪。\n價格為40金幣×維持輪數的平方。成本花費為原價錢 ÷（每等級＋1）。
紫晶藥劑	操作	2	調製藥水	你能製造短暫提供暗蝕抗性的藥水。\n每多一技能多提供15點暗蝕抗性。\n此藥水效果維持輪數為(此技能等級+藥水調製等級)×2。
硫磺藥劑	操作	2	調製藥水	你能製造奉獻地面的藥水。\n飲下該藥劑後，以自身為中心爆發(此技能等級+藥水調製等級)×5尺的奉獻地面。\n只要處於該奉獻地面上的角色每輪回1D10的HP，且每輪有一次傷害可以附加此技能等級D8的傷害。\n此藥水效果維持輪數為(此技能等級+藥水調製等級)×2。
灰岩藥水	操作	2	調製藥水	你能製造短暫提供元素抗性的藥水。\n每多一技能多提供10點冰冷抗性、閃電抗性與火焰抗性。\n此藥水效果維持輪數為此技能等級+藥水調製等級。
堅岩藥水	操作	2	調製藥水	你能製造提供短暫時間內提供物理抗性的藥水。\n每多一技能等級多提供3點物抗。\n此藥水效果維持輪數為此技能等級。
真銀藥劑	操作	3	調製藥水2級	你每輪可以多一次自由動作。\n此藥水效果維持輪數為此技能等級×2。
澤佛伊的終息	操作	4	調製藥水4級	在藥水效果期間，每輪燒1d10 HP，在此期間你可以用每 1 SP 抵擋 10 點傷害 。\n此藥水效果維持輪數為此技能等級*2輪。
詞綴賦予	操作	1		每多一技能等級可以為魔法物品賦予加值2之詞綴。\n成本花費為原價錢 ÷（每等級＋1）。
詞綴消除	操作	1	詞綴賦予	每多一技能等級可以為魔法物品拔除特定加值2之詞綴。\n成本花費為原價錢 ÷（每等級＋1）。
高級詞綴賦予	操作	2	詞綴賦予2級	每多一技能等級可以為魔法物品拔除特定加值2之高級詞綴。\n成本花費為原價錢 ÷（每等級＋1）。
額外魔法詞綴賦予	操作	2	詞綴賦予	一日使用次數每多一等級多2次。\n以一自由動作，將一件魔法物品額外賦予此技能等級*2之詞綴。
素材詞綴賦予	操作	2	詞綴賦予3級	你能為一魔法物品附上素材詞綴。\n此專長每提升 1 級，即可熟練使用對應素材階級(即詞綴等級)的魔法素材。\n使用高於本專長等級的素材時，擲骰最終結果承受 (素材階級 − 本專長等級) × 30 的負向修正。判定為1d100-(素材階級 − 本專長等級) × 30 。\n若數值小於0，則視為失敗；素材消失。\n使用低於本專長等級的素材時，每高出素材 1 個階級，你可以在擲骰後將最終結果調整 ±15 ×(本專長等級 − 素材階級)。
製造奇物**	操作	2	施法者達一環	只要符合先決條件，使用本專長可以製造各種奇物、手套、斗篷、腰帶、鞋子。\n永久型魔法物品需消費CP、時間、金錢，每多一加值需多卡自身1CP，若魔法物品永久性損毀則會解放無法使用的CP。\n（奇物或是特殊物品則對應價格表換算成對應的魔法物品加值價格與所需技能等級）\n成本花費為原價錢 ÷（每等級＋1）。\n能做的奇物斗篷、腰帶、鞋子加值為技能等級×3。（同魔法物品的加值）
抄錄卷軸**	操作	2	施法者達一環	你可將已知（此技能等級×1.5）的法術抄錄至卷軸上。除基本價格外，若卷軸中的法術帶有昂貴的材料成分或需消耗CP，製造時還需要額外支付。\n成本花費為原卷軸價錢/每等級＋1。
製造魔法武器及防具**	操作	2	施法者達一環	只要符合先決條件，使用本專長可以製造各種魔法武器、盔甲或盾牌（物品的先決條件與價格請參考《地下城主指南》）。\n用來附上魔法的武器、盔甲或盾牌必須是精製品（Masterwork）。\n只要你有能力製造同樣的東西，便可以修復破損的魔法武器、盔甲或盾牌。你必須支付相當於製造時一半的經驗值、材料費和時間。\n成本花費為原價錢 ÷（每等級＋1）。\n修復時間原時間、價格 ÷（每等級＋1）。
製造魔杖**	操作	2	施法者達二環	你可以將已知的法術製成魔杖，此技能等級×3為製作魔杖的等級上限，有些魔杖注明需花費額外的材料或經驗值。\n成本花費為原價錢 ÷（每等級＋1）。
製造權杖**	操作	2	施法者達二環	只要符合先決條件，使用本專長可以製造各種魔法權杖（物品的先決條件與價格請參考《地下城主指南》）\n成本花費為原價錢 ÷（每等級＋1）。
製造長杖**	操作	2	施法者達三環	只要符合先決條件，使用本專長可以製造各種法杖（物品的先決條件與價格請參考《地下城主指南》）一把新的法杖內含50 發法術。\n有些法杖注明需花費額外的材料或經驗值。\n成本花費為原價錢 ÷（每等級＋1）。\n（在法術完全用完前CP仍是會卡著無法使用。）
鍛造戒指/項鍊**	操作	2	施法者達三環	只要符合先決條件，使用本專長可以製造各種魔法戒指/項鍊（物品的先決條件與價格請參考《地下城主指南》）。\n每多一技能等級可以為你所鍛造的戒指/項鍊增加3加值（該誠品之最終加值需在鍛造前決定，成品為無詞綴之空加值裝備）\n只要你有能力製造同樣的東西，便可以修復損壞的魔法戒指。你必須支付相當於製造時一半的經驗值、材料費和時間。
符文刻劃**	 操作	3	鍛造戒指	你能將此技能等級×2的法術環數類似恆定術將其效果刻劃至魔法物品上，需支付法術環數之CP×2（抹除該符文後可以返還該CP）。\n單一魔法物品可以刻畫之上限為該物品之總加值/6。\n每多2技能等級你能在單一魔法物品上多刻劃一道符文。\n除恆定術中有講到之法術，其餘法術皆為及時觸發。\n刻劃符文之法術若為及時觸發，則使用次數為此技能等級。
符文戒指擴充	操作	2	符文刻劃二級	你能將原先戒指位置的詞綴刻劃至其他部位的魔法物品上，同時能將戒指詞綴化為符文刻劃之可刻劃符文。\n此技能等級加值×2將其對應的戒指加值詞綴加入自身的符文。\n戒指之詞綴需消耗其加值×2之CP進行刻劃。（三願除外）
符文頭環擴充	操作	1	符文刻劃一級	你能將原先頭環位置的詞綴刻劃至其他部位的魔法物品上，同時能將頭環詞綴化為符文刻劃之可刻劃符文。\n此技能等級加值×2將其對應的頭環加值詞綴加入自身的符文。\n頭環之詞綴需消耗其加值×2之CP進行刻劃。
符文武器擴充	操作	1	符文刻劃一級	你能將原先武器位置的詞綴刻劃至其他部位的魔法物品上，同時能將武器詞綴化為符文刻劃之可刻劃符文。\n此技能等級加值×2將其對應的武器加值詞綴加入自身的符文。\n武器之詞綴需消耗其加值×2之CP進行刻劃。
符文手套擴充	操作	1	符文刻劃一級	你能將原先手套位置的詞綴刻劃至其他部位的魔法物品上，同時能將手套詞綴化為符文刻劃之可刻劃符文。\n此技能等級加值×2將其對應的手套加值詞綴加入自身的符文。\n手套之詞綴需消耗其加值×2之CP進行刻劃。
符文手環擴充	操作	1	符文刻劃一級	你能將原先手環位置的詞綴刻劃至其他部位的魔法物品上，同時能將手環詞綴化為符文刻劃之可刻劃符文。\n此技能等級加值×2將其對應的手環加值詞綴加入自身的符文。\n手環之詞綴需消耗其加值×2之CP進行刻劃。
符文盾牌擴充	操作	2	符文刻劃二級	你能將原先盾牌位置的詞綴刻劃至其他部位的魔法物品上，同時能將盾牌詞綴化為符文刻劃之可刻劃符文。\n此技能等級加值×2將其對應的盾牌加值詞綴加入自身的符文。\n盾牌之詞綴需消耗其加值×2之CP進行刻劃。
符文披風擴充	操作	1	符文刻劃一級	你能將原先披風位置的詞綴刻劃至其他部位的魔法物品上，同時能將披風詞綴化為符文刻劃之可刻劃符文。\n 此技能等級加值×2將其對應的盾牌加值詞綴加入自身的符文。 披風之詞綴需消耗其加值×2之CP進行刻劃。
符文腰帶擴充	操作	1	符文刻劃一級	你能將原先腰帶位置的詞綴刻劃至其他部位的魔法物品上，同時能將腰帶詞綴化為符文刻劃之可刻劃符文。\n 此技能等級加值×2將其對應的盾牌加值詞綴加入自身的符文。 腰帶之詞綴需消耗其加值×2之CP進行刻劃。
符文鞋子擴充	操作	1	符文刻劃一級	你能將原先鞋子位置的詞綴刻劃至其他部位的魔法物品上，同時能將鞋子詞綴化為符文刻劃之可刻劃符文。\n 此技能等級加值×2將其對應的盾牌加值詞綴加入自身的符文。 鞋子之詞綴需消耗其加值×2之CP進行刻劃。
鎧甲符文擴充	操作	2	符文刻劃二級	你能將原先鎧甲位置的詞綴刻劃至其他部位的魔法物品上，同時能將鎧甲詞綴化為符文刻劃之可刻劃符文。\n此技能等級加值×2將其對應的鎧甲加值詞綴加入自身的符文。\n鎧甲之詞綴需消耗其加值×2之CP進行刻劃。
項鍊符文擴充	操作	2	符文刻劃二級	你能將原先項鍊位置的詞綴刻劃至其他部位的魔法物品上，同時能將項鍊詞綴化為符文刻劃之可刻劃符文。\n此技能等級加值×2將其對應的項鍊加值詞綴加入自身的符文。\n項鍊之詞綴需消耗其加值×2之CP進行刻劃。
法杖符文擴充	操作	2	符文刻劃二級	你能將原法杖位置的詞綴刻劃至其他部位的魔法物品上，同時能將法杖詞綴化為符文刻劃之可刻劃符文。\n此技能等級加值×2將其對應的法杖加值詞綴加入自身的符文。\n法杖之詞綴需消耗其加值×2之CP進行刻劃。（三願除外）
煉金符文轉化	操作	2	符文刻劃二級	每多1技能等級可以讓等級×2的法術，在進行符文刻劃的時候可以以所需CP*100金幣的方式替代原本所需的刻劃。\n當使用此技能的進行刻劃的麼法物品被摧毀或是使用此技能所刻劃的符文被消除時，所使用的金幣不會被返還。
魔法陣學	知識	2	施法者達一環	每等級上升10%判定成功率，你能夠嘗試解析各式龐大的魔法陣。\n技能等級×1.5為此專長所能影響到的法術環數並嘗試去刻劃其魔法陣，每多一技能等級刻畫出的法陣能為法術增加三個施法者等級。\n法陣觸發或是啟動次數為此技能等級，此外法陣織觸發方式與啟動方法可以由法陣刻劃者來設置。\n法陣所刻劃之金額與耗材消費=該法術之卷軸價格（需要以最後各式技能增幅完之施法者等級進行換算）× 法陣所能啟動或觸發之次數上限。\n刻劃所需消耗之時間天數=刻劃完成之法術環數（需要以最後各式技能增幅完之施法者等級進行換算）× 法陣所能啟動或觸發之次數上限。\n法陣所需消耗之空間=刻劃完成之法術環數（需要以最後各式技能增幅完之施法者等級進行換算）×\n刻劃完成之法術環數（需要以最後各式技能增幅完之施法者等級進行換算）平方英尺
魔法陣恆定學	知識	3	魔法陣學	你能將所刻劃之法陣進行恆定。\n法陣恆定所需要消耗之CP=刻劃完成之法術環數（需要以最後各式技能增幅完之施法者等級進行換算）× 3。\n此法陣消耗之CP可以由一同參與法陣刻劃者協同支付，協同者可以僅擁有魔法陣學之專長。\n此外法陣所需消耗之時間、金額與耗材消費、空間與魔法陣學專長一致。
製作抄寫台	操作	3	抄錄卷軸3級	你可以花一周製作一個抄寫台。\n每多2技能等級可以往上製作一個等級的抄寫台。\n普通抄寫台:適用1~3環法術，成本4,000金幣，使用抄寫台時製作時間*1/2。\n中級抄寫台:適用1~6環法術，成本75,000金幣，使用抄寫台時製作時間*1/3。\n高級抄寫台:適用1~9環法術，成本320,000金幣，使用抄寫台時製作時間*1/4。
製作藥水台	操作	3	調製藥水3級	你可以花一周製作一個藥水台。\n每多2技能等級可以往上製作一個等級的藥水台。\n普通藥水台:適用調製藥水、醫療強化的藥水，成本5000金幣，使用藥水台時製作時間*1/2。\n中級藥水台:適用調製藥水、醫療強化、雙重回復、藥水轉藥錠、寶鑽藥水、藍玉藥水、紅玉藥水、黃玉藥水、石英藥水、翠玉藥水、金剛藥水的藥水，成本90,000金幣，使用藥水台時製作時間*1/3。\n高級藥水台:適用所有藥水專長相關的藥水，成本400,000金幣，使用藥水台時製作時間*1/4。
