工作表	合併範圍
德魯伊結社	E18:L18
德魯伊結社	P18:X18
德魯伊結社	A19:C19
德魯伊結社	D19:F19
德魯伊結社	G19:I19
德魯伊結社	J19:L19
德魯伊結社	B20:C20
德魯伊結社	E20:F20
德魯伊結社	H20:I20
德魯伊結社	K20:L20
德魯伊結社	A25:C25
德魯伊結社	D25:F25
德魯伊結社	G25:I25
德魯伊結社	J25:L25
德魯伊結社	B26:C26
德魯伊結社	E26:F26
德魯伊結社	H26:I26
德魯伊結社	K26:L26
德魯伊結社	A31:L31
德魯伊結社	A32:L32
德魯伊結社	A33:L33
德魯伊結社	D34:L34
德魯伊結社	A35:L35
德魯伊結社	D36:L36
德魯伊結社	D37:L37
德魯伊結社	D38:L38
德魯伊結社	D39:L39
德魯伊結社	E40:L40
法師學派專精	A1:C1
法師學派專精	A2:C2
法師學派專精	A4:C4
法師學派專精	A10:C10
法師學派專精	A16:C16
法師學派專精	A22:C22
法師學派專精	A28:C28
法師學派專精	A34:C34
法師學派專精	A40:C40
法師學派專精	A46:C46
術士	A1:L1
術士	A2:L2
術士	A3:L3
術士	C4:L4
術士	A5:L5
術士	M5:X5
術士	Y5:AJ5
術士	A6:L6
術士	M6:X6
術士	Y6:AJ6
術士	C7:L7
術士	O7:X7
術士	AA7:AJ7
術士	C8:L8
術士	O8:X8
術士	AA8:AJ8
術士	C9:L9
術士	O9:X9
術士	AA9:AJ9
術士	C10:L10
術士	O10:X10
術士	AA10:AJ10
術士	C11:L11
術士	O11:X11
術士	AA11:AJ11
術士	A12:L12
術士	M12:X12
術士	Y12:AJ12
術士	A13:L13
術士	M13:X13
術士	Y13:AJ13
術士	C14:L14
術士	O14:X14
術士	AA14:AJ14
術士	C15:L15
術士	O15:X15
術士	AA15:AJ15
術士	C16:L16
術士	O16:X16
術士	AA16:AJ16
術士	C17:L17
術士	O17:X17
術士	AA17:AJ17
術士	C18:L18
術士	O18:X18
術士	AA18:AJ18
術士	A19:L19
術士	M19:X19
術士	Y19:AJ19
術士	A20:L20
術士	M20:X20
術士	Y20:AJ20
術士	C21:L21
術士	O21:X21
術士	AA21:AJ21
術士	C22:L22
術士	O22:X22
術士	AA22:AJ22
術士	C23:L23
術士	O23:X23
術士	AA23:AJ23
術士	C24:L24
術士	O24:X24
術士	AA24:AJ24
術士	C25:L25
術士	O25:X25
術士	AA25:AJ25
術士	A26:L26
術士	M26:X26
術士	A27:L27
術士	M27:X27
術士	C28:L28
術士	O28:X28
術士	C29:L29
術士	O29:X29
術士	C30:L30
術士	O30:X30
術士	C31:L31
術士	O31:X31
術士	C32:L32
術士	O32:X32
吟遊詩人特殊專長	A1:Z1
吟遊詩人特殊專長	A2:A3
吟遊詩人特殊專長	B2:B3
吟遊詩人特殊專長	C2:C3
吟遊詩人特殊專長	D2:M3
吟遊詩人特殊專長	N2:Z2
吟遊詩人特殊專長	N3:Z3
吟遊詩人特殊專長	A4:A6
吟遊詩人特殊專長	B4:B6
吟遊詩人特殊專長	C4:C6
吟遊詩人特殊專長	D4:M6
吟遊詩人特殊專長	N4:Z4
吟遊詩人特殊專長	N5:Z5
吟遊詩人特殊專長	Q6:Z6
吟遊詩人特殊專長	D7:M7
吟遊詩人特殊專長	Q7:Z7
吟遊詩人特殊專長	D8:M8
吟遊詩人特殊專長	Q8:Z8
吟遊詩人特殊專長	D9:M9
吟遊詩人特殊專長	Q9:Z9
吟遊詩人特殊專長	A10:A11
吟遊詩人特殊專長	B10:B11
吟遊詩人特殊專長	C10:C11
吟遊詩人特殊專長	D10:M11
吟遊詩人特殊專長	N10:Z10
吟遊詩人特殊專長	N11:Z11
吟遊詩人特殊專長	D12:M12
吟遊詩人特殊專長	Q12:Z12
吟遊詩人特殊專長	D13:M13
吟遊詩人特殊專長	Q13:Z13
吟遊詩人特殊專長	A14:A15
吟遊詩人特殊專長	B14:B15
吟遊詩人特殊專長	C14:C15
吟遊詩人特殊專長	D14:M15
吟遊詩人特殊專長	Q14:Z14
吟遊詩人特殊專長	Q15:Z15
吟遊詩人特殊專長	A16:A17
吟遊詩人特殊專長	B16:B17
吟遊詩人特殊專長	C16:C17
吟遊詩人特殊專長	D16:M17
吟遊詩人特殊專長	N16:Z16
吟遊詩人特殊專長	N17:Z17
吟遊詩人特殊專長	D18:M18
吟遊詩人特殊專長	Q18:Z18
吟遊詩人特殊專長	D19:M19
吟遊詩人特殊專長	Q19:Z19
吟遊詩人特殊專長	Q20:Z20
吟遊詩人特殊專長	Q21:Z21
牧師領域	A1:I1
牧師領域	J1:R1
牧師領域	S1:AA1
牧師領域	D2:I2
牧師領域	J2:R2
牧師領域	S2:AA2
牧師領域	A3:A4
牧師領域	B3:B4
牧師領域	C3:C4
牧師領域	D3:I4
牧師領域	J3:R3
牧師領域	S3:AA3
牧師領域	J4:R4
牧師領域	S4:AA4
牧師領域	D5:I5
牧師領域	M5:R5
牧師領域	V5:AA5
牧師領域	D6:I6
牧師領域	M6:R6
牧師領域	V6:AA6
牧師領域	D7:I7
牧師領域	M7:R7
牧師領域	V7:AA7
牧師領域	D8:I8
牧師領域	M8:R8
牧師領域	V8:AA8
牧師領域	D9:I9
牧師領域	M9:R9
牧師領域	V9:AA9
牧師領域	A10:A11
牧師領域	B10:B11
牧師領域	C10:C11
牧師領域	D10:I11
牧師領域	J10:R10
牧師領域	S10:AA10
牧師領域	J11:R11
牧師領域	S11:AA11
牧師領域	D12:I12
牧師領域	M12:R12
牧師領域	V12:AA12
牧師領域	D13:I13
牧師領域	M13:R13
牧師領域	V13:AA13
牧師領域	M14:R14
牧師領域	V14:AA14
牧師領域	M15:R15
牧師領域	V15:AA15
牧師領域	M16:R16
牧師領域	V16:AA16
牧師領域	J17:R17
牧師領域	S17:AA17
牧師領域	J18:R18
牧師領域	S18:AA18
牧師領域	M19:R19
牧師領域	V19:AA19
牧師領域	M20:R20
牧師領域	V20:AA20
牧師領域	M21:R21
牧師領域	V21:AA21
牧師領域	M22:R22
牧師領域	V22:AA22
牧師領域	M23:R23
牧師領域	V23:AA23
牧師領域	J24:R24
牧師領域	S24:AA24
牧師領域	J25:R25
牧師領域	S25:AA25
牧師領域	M26:R26
牧師領域	V26:AA26
牧師領域	M27:R27
牧師領域	V27:AA27
牧師領域	M28:R28
牧師領域	V28:AA28
牧師領域	M29:R29
牧師領域	V29:AA29
牧師領域	M30:R30
牧師領域	V30:AA30
牧師領域	J31:R31
牧師領域	S31:AA31
牧師領域	J32:R32
牧師領域	S32:AA32
牧師領域	M33:R33
牧師領域	V33:AA33
牧師領域	M34:R34
牧師領域	V34:AA34
牧師領域	M35:R35
牧師領域	V35:AA35
牧師領域	M36:R36
牧師領域	V36:AA36
牧師領域	M37:R37
牧師領域	V37:AA37
牧師領域	Y38:AA38
牧師領域	Y39:AA39
特殊職業1	A1:I1
特殊職業1	J1:Q1
特殊職業1	R1:Y1
特殊職業1	A2:I2
特殊職業1	J2:Q2
特殊職業1	R2:Y2
特殊職業1	D3:I3
特殊職業1	J3:Q3
特殊職業1	R3:Y3
特殊職業1	D4:I4
特殊職業1	J4:Q4
特殊職業1	R4:Y4
特殊職業1	D5:I5
特殊職業1	M5:Q5
特殊職業1	S5:Y5
特殊職業1	A6:I6
特殊職業1	M6:Q6
特殊職業1	S6:Y6
特殊職業1	B7:I7
特殊職業1	M7:Q7
特殊職業1	S7:Y7
特殊職業1	B8:I8
特殊職業1	M8:Q8
特殊職業1	R8:Y8
特殊職業1	B9:I9
特殊職業1	M9:Q9
特殊職業1	U9:Y9
特殊職業1	B10:I10
特殊職業1	M10:Q10
特殊職業1	U10:Y10
特殊職業1	B11:I11
特殊職業1	M11:Q11
特殊職業1	U11:Y11
特殊職業1	A12:I12
特殊職業1	M12:Q12
特殊職業1	U12:Y12
特殊職業1	D13:I13
特殊職業1	M13:Q13
特殊職業1	U13:Y13
特殊職業1	D14:I14
特殊職業1	M14:Q14
特殊職業1	U14:Y14
特殊職業1	D15:I15
特殊職業1	M15:Q15
特殊職業1	U15:Y15
特殊職業1	D16:I16
特殊職業1	M16:Q16
特殊職業1	U16:Y16
特殊職業1	D17:I17
特殊職業1	M17:Q17
特殊職業1	D18:I18
特殊職業1	M18:Q18
特殊職業1	D19:I19
特殊職業1	M19:Q19
特殊職業1	D20:I20
特殊職業1	M20:Q20
特殊職業1	D21:I21
特殊職業1	M21:Q21
特殊職業1	D22:I22
特殊職業1	M22:Q22
特殊職業1	M23:Q23
特殊職業1	M24:Q24
特殊職業1	M25:Q25
特殊職業1	M26:Q26
特殊職業1	M27:Q27
特殊職業1	M28:Q28
特殊職業1	M29:Q29
特殊職業2	A1:C1
特殊職業2	D1:L1
特殊職業2	M1:U1
特殊職業2	D2:L2
特殊職業2	M2:U2
特殊職業2	F3:L3
特殊職業2	M3:U3
特殊職業2	F4:L4
特殊職業2	M4:U4
特殊職業2	A5:C5
特殊職業2	D5:L5
特殊職業2	M5:U6
特殊職業2	A6:C6
特殊職業2	F6:L6
特殊職業2	B7:C7
特殊職業2	F7:L7
特殊職業2	M7:U7
特殊職業2	B8:C8
特殊職業2	D8:D12
特殊職業2	F8:L8
特殊職業2	M8:M12
特殊職業2	N8:N12
特殊職業2	O8:O12
特殊職業2	P8:U12
特殊職業2	B9:C9
特殊職業2	F9:L9
特殊職業2	B10:C10
特殊職業2	F10:L10
特殊職業2	B11:C11
特殊職業2	F11:L11
特殊職業2	B12:C12
特殊職業2	E12:L12
特殊職業2	B13:C13
特殊職業2	F13:L13
特殊職業2	M13:U13
特殊職業2	B14:C14
特殊職業2	F14:L14
特殊職業2	P14:U14
特殊職業2	F15:L15
特殊職業2	P15:U15
特殊職業2	F16:L16
特殊職業2	P16:U16
特殊職業2	F17:L17
特殊職業2	P17:U17
特殊職業2	F18:L18
特殊職業2	P18:U18
特殊職業2	F19:L19
特殊職業2	P19:U19
特殊職業2	F20:L20
特殊職業2	F21:L21
特殊職業2	F22:L22
特殊職業(武僧)	A1:Y1
特殊職業(武僧)	A2:H2
特殊職業(武僧)	I2:Y2
特殊職業(武僧)	A3:H3
特殊職業(武僧)	I3:Y3
特殊職業(武僧)	A4:H4
特殊職業(武僧)	I4:P4
特殊職業(武僧)	Q4:Y4
特殊職業(武僧)	B5:H5
特殊職業(武僧)	I5:P5
特殊職業(武僧)	Q5:Y5
特殊職業(武僧)	B6:H6
特殊職業(武僧)	L6:P6
特殊職業(武僧)	T6:Y6
特殊職業(武僧)	A7:H7
特殊職業(武僧)	L7:P7
特殊職業(武僧)	T7:Y7
特殊職業(武僧)	D8:H8
特殊職業(武僧)	L8:P8
特殊職業(武僧)	Q8:Y8
特殊職業(武僧)	D9:H9
特殊職業(武僧)	L9:P9
特殊職業(武僧)	Q9:R9
特殊職業(武僧)	S9:Y9
特殊職業(武僧)	D10:H10
特殊職業(武僧)	I10:P10
特殊職業(武僧)	Q10:R10
特殊職業(武僧)	S10:Y10
特殊職業(武僧)	D11:H11
特殊職業(武僧)	I11:P11
特殊職業(武僧)	Q11:R11
特殊職業(武僧)	S11:Y11
特殊職業(武僧)	D12:H12
特殊職業(武僧)	L12:P12
特殊職業(武僧)	Q12:R12
特殊職業(武僧)	S12:Y12
特殊職業(武僧)	D13:H13
特殊職業(武僧)	L13:P13
特殊職業(武僧)	Q13:R13
特殊職業(武僧)	S13:Y13
特殊職業(武僧)	D14:H14
特殊職業(武僧)	L14:P14
特殊職業(武僧)	Q14:R14
特殊職業(武僧)	S14:Y14
特殊職業(武僧)	D15:H15
特殊職業(武僧)	L15:P15
特殊職業(武僧)	Q15:R15
特殊職業(武僧)	S15:Y15
特殊職業(武僧)	D16:H16
特殊職業(武僧)	I16:P16
特殊職業(武僧)	Q16:R16
特殊職業(武僧)	S16:Y16
特殊職業(武僧)	D17:H17
特殊職業(武僧)	I17:P17
特殊職業(武僧)	Q17:R17
特殊職業(武僧)	S17:Y17
特殊職業(武僧)	D18:H18
特殊職業(武僧)	L18:P18
特殊職業(武僧)	Q18:Y18
特殊職業(武僧)	D19:H19
特殊職業(武僧)	L19:P19
特殊職業(武僧)	S19:Y19
特殊職業(武僧)	D20:H20
特殊職業(武僧)	L20:P20
特殊職業(武僧)	A21:A22
特殊職業(武僧)	B21:B22
特殊職業(武僧)	C21:C22
特殊職業(武僧)	D21:H22
特殊職業(武僧)	L21:P21
特殊職業(武僧)	I22:P22
特殊職業(武僧)	I23:P23
特殊職業(武僧)	L24:P24
特殊職業(武僧)	L25:P25
特殊職業(武僧)	L26:P26
特殊職業(武僧)	L27:P27
特殊職業(武僧)	I28:P28
特殊職業(武僧)	I29:P29
特殊職業(武僧)	L30:P30
特殊職業(武僧)	L31:P31
特殊職業(武僧)	L32:P32
特殊職業(武僧)	L33:P33
特殊職業(武僧)	I34:P34
特殊職業(武僧)	I35:P35
特殊職業(武僧)	L36:P36
特殊職業(武僧)	L37:P37
特殊職業(武僧)	L38:P38
特殊職業(武僧)	L39:P39
特殊職業(武僧)	I40:P40
特殊職業(武僧)	I41:P41
特殊職業(武僧)	L42:P42
特殊職業(武僧)	L43:P43
特殊職業(武僧)	L44:P44
特殊職業(武僧)	L45:P45
特殊職業(warlock)	A1:T1
特殊職業(warlock)	A2:J2
特殊職業(warlock)	K2:T2
特殊職業(warlock)	D3:J3
特殊職業(warlock)	K3:T3
特殊職業(warlock)	D4:J4
特殊職業(warlock)	N4:T4
特殊職業(warlock)	A5:J5
特殊職業(warlock)	N5:T5
特殊職業(warlock)	D6:J6
特殊職業(warlock)	N6:T6
特殊職業(warlock)	D7:J7
特殊職業(warlock)	N7:T7
特殊職業(warlock)	A8:J8
特殊職業(warlock)	N8:T8
特殊職業(warlock)	A9:J9
特殊職業(warlock)	N9:T9
特殊職業(warlock)	D10:J10
特殊職業(warlock)	N10:T10
特殊職業(warlock)	D11:J11
特殊職業(warlock)	N11:T11
特殊職業(warlock)	D12:J12
特殊職業(warlock)	N12:T12
特殊職業(warlock)	D13:J13
特殊職業(warlock)	N13:T13
特殊職業(warlock)	A14:J14
特殊職業(warlock)	N14:T14
特殊職業(warlock)	A15:J15
特殊職業(warlock)	N15:T15
特殊職業(warlock)	D16:J16
特殊職業(warlock)	N16:T16
特殊職業(warlock)	D17:J17
特殊職業(warlock)	N17:T17
特殊職業(warlock)	D18:J18
特殊職業(warlock)	N18:T18
特殊職業(warlock)	D19:J19
特殊職業(warlock)	N19:T19
特殊職業(warlock)	A20:J20
特殊職業(warlock)	N20:T20
特殊職業(warlock)	A21:J21
特殊職業(warlock)	N21:T21
特殊職業(warlock)	D22:J22
特殊職業(warlock)	N22:T22
特殊職業(warlock)	D23:J23
特殊職業(warlock)	N23:T23
特殊職業(warlock)	D24:J24
特殊職業(warlock)	N24:T24
特殊職業(warlock)	D25:J25
特殊職業(warlock)	N25:T25
特殊職業(warlock)	A26:J26
特殊職業(warlock)	N26:T26
特殊職業(warlock)	A27:J27
特殊職業(warlock)	N27:T27
特殊職業(warlock)	D28:J28
特殊職業(warlock)	N28:T28
特殊職業(warlock)	D29:J29
特殊職業(warlock)	N29:T29
特殊職業(warlock)	D30:J30
特殊職業(warlock)	N30:T30
特殊職業(warlock)	D31:J31
特殊職業(warlock)	N31:T31
特殊職業(warlock)	A32:J32
特殊職業(warlock)	N32:T32
特殊職業(warlock)	A33:J33
特殊職業(warlock)	N33:T33
特殊職業(warlock)	D34:J34
特殊職業(warlock)	N34:T34
特殊職業(warlock)	D35:J35
特殊職業(warlock)	N35:T35
特殊職業(warlock)	D36:J36
特殊職業(warlock)	N36:T36
特殊職業(warlock)	D37:J37
特殊職業(warlock)	N37:T37
特殊職業(warlock)	D38:J38
特殊職業(warlock)	N38:T38
特殊職業(warlock)	A39:J39
特殊職業(warlock)	N39:T39
特殊職業(warlock)	A40:J40
特殊職業(warlock)	N40:T40
特殊職業(warlock)	D41:J41
特殊職業(warlock)	N41:T41
特殊職業(warlock)	D42:J42
特殊職業(warlock)	N42:T42
特殊職業(warlock)	D43:J43
特殊職業(warlock)	N43:T43
特殊職業(warlock)	D44:J44
特殊職業(warlock)	N44:T44
特殊職業(warlock)	A45:J45
特殊職業(warlock)	N45:T45
特殊職業(warlock)	A46:J46
特殊職業(warlock)	N46:T46
特殊職業(warlock)	D47:J47
特殊職業(warlock)	N47:T47
特殊職業(warlock)	D48:J48
特殊職業(warlock)	N48:T48
特殊職業(warlock)	D49:J49
特殊職業(warlock)	N49:T49
特殊職業(warlock)	D50:J50
特殊職業(warlock)	N50:T50
特殊職業(warlock)	A51:J51
特殊職業(warlock)	N51:T51
特殊職業(warlock)	A52:J52
特殊職業(warlock)	N52:T52
特殊職業(warlock)	D53:J53
特殊職業(warlock)	N53:T53
特殊職業(warlock)	D54:J54
特殊職業(warlock)	N54:T54
特殊職業(warlock)	D55:J55
特殊職業(warlock)	N55:T55
特殊職業(warlock)	D56:J56
特殊職業(warlock)	N56:T56
特殊職業(warlock)	A57:J57
特殊職業(warlock)	N57:T57
特殊職業(warlock)	D58:J58
特殊職業(warlock)	N58:T58
特殊職業(warlock)	D59:J59
特殊職業(warlock)	N59:T59
特殊職業(warlock)	D60:J60
特殊職業(warlock)	N60:T60
特殊職業(warlock)	D61:J61
特殊職業(warlock)	N61:T61
特殊職業(warlock)	N62:T62
特殊職業(warlock)	N63:T63
特殊職業(warlock)	N64:T64
特殊職業(warlock)	N65:T65
狩獵任務	A1:C1
魔法物品價格表	A1:C1
魔法物品價格表	D1:G1
魔法物品價格表	H1:N1
魔法物品價格表	O1:Q1
魔法物品價格表	R1:S1
魔法物品價格表	A2:C2
魔法物品價格表	D2:G2
魔法物品價格表	H2:L2
魔法物品價格表	M2:N2
魔法物品價格表	O2:Q2
魔法物品價格表	R2:S2
魔法物品價格表	A3:C3
魔法物品價格表	D3:E3
魔法物品價格表	F3:G3
魔法物品價格表	H3:L3
魔法物品價格表	M3:N3
魔法物品價格表	O3:Q3
魔法物品價格表	D12:G12
魔法物品價格表	A16:C16
魔法物品價格表	M16:N16
魔法物品價格表	H24:L24
魔法物品價格表	M29:N29
詞墜(依物品分類)	A1:F8
詞墜(依物品分類)	G1:L4
詞墜(依物品分類)	M1:Q1
詞墜(依物品分類)	R1:AB4
詞墜(依物品分類)	G5:O5
詞墜(依物品分類)	P5:V5
詞墜(依物品分類)	W5:AB8
詞墜(依物品分類)	A9:B12
詞墜(依物品分類)	C9:H9
詞墜(依物品分類)	I9:P9
詞墜(依物品分類)	Q9:Z9
詞墜(依物品分類)	AA9:AB12
詞墜(依物品分類)	A13:N13
詞墜(依物品分類)	O13:AB13
詞墜(依物品分類)	A14:B14
詞墜(依物品分類)	C14:D14
詞墜(依物品分類)	E14:F14
詞墜(依物品分類)	G14:H14
詞墜(依物品分類)	I14:J14
詞墜(依物品分類)	K14:L14
詞墜(依物品分類)	M14:N14
詞墜(依物品分類)	O14:P14
詞墜(依物品分類)	Q14:R14
詞墜(依物品分類)	S14:T14
詞墜(依物品分類)	U14:V14
詞墜(依物品分類)	W14:X14
詞墜(依物品分類)	Y14:Z14
詞墜(依物品分類)	AA14:AB14
詞墜(依物品分類)	A23:N23
詞墜(依物品分類)	O23:AB23
詞墜(依物品分類)	A24:B24
詞墜(依物品分類)	C24:D24
詞墜(依物品分類)	E24:F24
詞墜(依物品分類)	G24:H24
詞墜(依物品分類)	I24:J24
詞墜(依物品分類)	K24:L24
詞墜(依物品分類)	M24:N24
詞墜(依物品分類)	O24:P24
詞墜(依物品分類)	Q24:R24
詞墜(依物品分類)	S24:T24
詞墜(依物品分類)	U24:V24
詞墜(依物品分類)	W24:X24
詞墜(依物品分類)	Y24:Z24
詞墜(依物品分類)	AA28:AB28
詞墜(依物品分類)	A33:N33
詞墜(依物品分類)	O33:AB33
詞墜(依物品分類)	A34:B34
詞墜(依物品分類)	C34:D34
詞墜(依物品分類)	E34:F34
詞墜(依物品分類)	G34:H34
詞墜(依物品分類)	I34:J34
詞墜(依物品分類)	K34:L34
詞墜(依物品分類)	M34:N34
詞墜(依物品分類)	O34:P34
詞墜(依物品分類)	Q34:R34
詞墜(依物品分類)	S34:T34
詞墜(依物品分類)	U34:V34
詞墜(依物品分類)	W34:X34
詞墜(依物品分類)	Y34:Z34
詞墜(依物品分類)	AA34:AB34
詞墜(依物品分類)	AA38:AB38
詞墜(依物品分類)	A43:N43
詞墜(依物品分類)	O43:AB43
詞墜(依物品分類)	A44:B44
詞墜(依物品分類)	C44:D44
詞墜(依物品分類)	E44:F44
詞墜(依物品分類)	G44:H44
詞墜(依物品分類)	I44:J44
詞墜(依物品分類)	K44:L44
詞墜(依物品分類)	M44:N44
詞墜(依物品分類)	O44:P44
詞墜(依物品分類)	Q44:R44
詞墜(依物品分類)	S44:T44
詞墜(依物品分類)	U44:V44
詞墜(依物品分類)	W44:X44
詞墜(依物品分類)	Y44:Z44
詞墜(依物品分類)	AA44:AB44
詞墜(依物品分類)	AA48:AB48
詞墜(依物品分類)	A53:N53
詞墜(依物品分類)	O53:AB53
詞墜(依物品分類)	A54:B54
詞墜(依物品分類)	C54:D54
詞墜(依物品分類)	E54:F54
詞墜(依物品分類)	G54:H54
詞墜(依物品分類)	I54:J54
詞墜(依物品分類)	K54:L54
詞墜(依物品分類)	M54:N54
詞墜(依物品分類)	O54:P54
詞墜(依物品分類)	Q54:R54
詞墜(依物品分類)	S54:T54
詞墜(依物品分類)	U54:V54
詞墜(依物品分類)	W54:X54
詞墜(依物品分類)	Y54:Z54
詞墜(依物品分類)	AA54:AB54
詞墜(依物品分類)	M58:N58
詞墜(依物品分類)	A63:N63
詞墜(依物品分類)	O63:AB63
詞墜(依物品分類)	A64:B64
詞墜(依物品分類)	C64:D64
詞墜(依物品分類)	E64:F64
詞墜(依物品分類)	G64:H64
詞墜(依物品分類)	I64:J64
詞墜(依物品分類)	K64:L64
詞墜(依物品分類)	M64:N64
詞墜(依物品分類)	O64:P64
詞墜(依物品分類)	Q64:R64
詞墜(依物品分類)	S64:T64
詞墜(依物品分類)	U64:V64
詞墜(依物品分類)	W64:X64
詞墜(依物品分類)	Y64:Z64
詞墜(依物品分類)	AA64:AB64
詞墜(依物品分類)	O70:P70
詞墜(依物品分類)	Q70:R70
詞墜(依物品分類)	S70:T70
詞墜(依物品分類)	A73:N73
詞墜(依物品分類)	A74:B74
詞墜(依物品分類)	C74:D74
詞墜(依物品分類)	E74:F74
詞墜(依物品分類)	G74:H74
詞墜(依物品分類)	I74:J74
詞墜(依物品分類)	K74:L74
詞墜(依物品分類)	M74:N74
高階詞綴	C1:D1
素材詞綴	H1:K1
素材詞綴	A2:A4
素材詞綴	B2:B4
素材詞綴	C2:C4
素材詞綴	D2:D4
素材詞綴	H2:K2
素材詞綴	H3:K3
素材詞綴	H4:K4
素材詞綴	A5:A7
素材詞綴	B5:B7
素材詞綴	C5:C7
素材詞綴	D5:D7
素材詞綴	H5:K5
素材詞綴	H6:K6
素材詞綴	H7:K7
素材詞綴	A8:A10
素材詞綴	B8:B10
素材詞綴	C8:C10
素材詞綴	D8:D10
素材詞綴	H8:K8
素材詞綴	H9:K9
素材詞綴	H10:K10
素材詞綴	A11:A13
素材詞綴	B11:B13
素材詞綴	C11:C13
素材詞綴	D11:D13
素材詞綴	H11:K11
素材詞綴	H12:K12
素材詞綴	H13:K13
素材詞綴	A14:A16
素材詞綴	B14:B16
素材詞綴	C14:C16
素材詞綴	D14:D16
素材詞綴	H14:K14
素材詞綴	H15:K15
素材詞綴	H16:K16
素材詞綴	A17:A19
素材詞綴	B17:B19
素材詞綴	C17:C19
素材詞綴	D17:D19
素材詞綴	H17:K17
素材詞綴	H18:K18
素材詞綴	H19:K19
素材詞綴	A20:A22
素材詞綴	B20:B22
素材詞綴	C20:C22
素材詞綴	D20:D22
素材詞綴	H20:K20
素材詞綴	H21:K21
素材詞綴	H22:K22
素材詞綴	A23:A25
素材詞綴	B23:B25
素材詞綴	C23:C25
素材詞綴	D23:D25
素材詞綴	H23:K23
素材詞綴	H24:K24
素材詞綴	H25:K25
素材詞綴	A26:A28
素材詞綴	B26:B28
素材詞綴	C26:C28
素材詞綴	D26:D28
素材詞綴	H26:K26
素材詞綴	H27:K27
素材詞綴	H28:K28
素材詞綴	A29:A31
素材詞綴	B29:B31
素材詞綴	C29:C31
素材詞綴	D29:D31
素材詞綴	H29:K29
素材詞綴	H30:K30
素材詞綴	H31:K31
素材詞綴	A32:A34
素材詞綴	B32:B34
素材詞綴	C32:C34
素材詞綴	D32:D34
素材詞綴	H32:K32
素材詞綴	H33:K33
素材詞綴	H34:K34
素材詞綴	A35:A37
素材詞綴	B35:B37
素材詞綴	C35:C37
素材詞綴	D35:D37
素材詞綴	H35:K35
素材詞綴	H36:K36
素材詞綴	H37:K37
